title,author,length
Soul Boom,Rainn Wilson,Length: 9 hrs and 3 mins
How to Change Your Mind,Michael Pollan,Length: 13 hrs and 35 mins
The Extraordinary Life of Sam Hell,Robert Dugoni,Length: 11 hrs and 41 mins
Bad Summer People,Emma Rosenblum,Length: 9 hrs and 48 mins
From Blood and Ash,Jennifer L. Armentrout,Length: 19 hrs and 46 mins
The Only Woman in the Room,Marie Benedict,Length: 8 hrs and 54 mins
Mission Critical,Mark Greaney,Length: 17 hrs and 1 min
The Way I Heard It,Mike Rowe,Length: 7 hrs and 55 mins
The Demon-Haunted World,Carl Sagan,Length: 17 hrs and 23 mins
Throne of Glass,Sarah J. Maas,Length: 13 hrs and 3 mins
The Rose Code,Kate Quinn,Length: 16 hrs and 2 mins
The Ruthless Elimination of Hurry,"John Mark Comer,John Ortberg - foreword",Length: 5 hrs and 20 mins
The Librarian of Crooked Lane,C.J. Archer,Length: 8 hrs and 9 mins
All the Skills: A Deck Building LitRPG 2,Honour Rae,Length: 16 hrs and 32 mins
Demon Copperhead,Barbara Kingsolver,Length: 21 hrs and 3 mins
Anxious People,Fredrik Backman,Length: 9 hrs and 53 mins
The Infinite Game,Simon Sinek,Length: 6 hrs and 56 mins
The Autobiography of Malcolm X,"Malcolm X,Alex Haley",Length: 16 hrs and 52 mins
Atlas of the Heart,Brené Brown,Length: 8 hrs and 29 mins
Peace Is Every Step,Thich Nhat Hanh,Length: 3 hrs and 29 mins
A Promised Land,Barack Obama,Length: 29 hrs and 10 mins
Radical Candor: Fully Revised & Updated Edition,Kim Scott,Length: 11 hrs and 55 mins
The Godfather,"Mario Puzo,Francis Ford Coppola - introduction,Anthony Puzo - note,Robert J. Thompson - afterword",Length: 18 hrs and 48 mins
Credence,Penelope Douglas,Length: 16 hrs and 55 mins
Relentless,"Tim S. Grover,Shari Wenk",Length: 6 hrs and 38 mins
Magic Hour,Kristin Hannah,Length: 14 hrs and 38 mins
Gateway Catastrophe,Louisa Masters,Length: 7 hrs and 16 mins
Mindset,Carol S. Dweck PhD,Length: 10 hrs and 23 mins
Kitchen Confidential,Anthony Bourdain,Length: 8 hrs and 19 mins
Malibu Rising,Taylor Jenkins Reid,Length: 11 hrs and 5 mins
Dungeon Crawler Carl,Matt Dinniman,Length: 13 hrs and 31 mins
You Are a Badass® (Ultimate Collector's Edition),Jen Sincero,Length: 6 hrs and 22 mins
Flock,Kate Stewart,Length: 10 hrs and 12 mins
The Assassin's Blade,Sarah J. Maas,Length: 12 hrs and 52 mins
The Boys from Biloxi,John Grisham,Length: 17 hrs and 22 mins
The Storyteller,Dave Grohl,Length: 10 hrs and 35 mins
Unf--k Your Brain,Faith G. Harper PhD LPC-S ACS ACN,Length: 3 hrs and 39 mins
How to Do the Work,Dr. Nicole LePera,Length: 9 hrs and 42 mins
Raising Good Humans,"Hunter Clarke-Fields MSAE,Carla Naumburg PhD",Length: 5 hrs and 37 mins
Hopeless,Colleen Hoover,Length: 12 hrs and 34 mins
Horus Rising,Dan Abnett,Length: 12 hrs and 14 mins
The Silmarillion,J. R. R. Tolkien,Length: 14 hrs and 49 mins
The History of Ancient Egypt,"Bob Brier,The Great Courses",Length: 24 hrs and 25 mins
Magic Tides & Magic Claims,Ilona Andrews,Length: 12 hrs and 21 mins
Forgiving What You Can't Forget,Lysa TerKeurst,Length: 8 hrs and 20 mins
The Hobbit,J. R. R. Tolkien,Length: 10 hrs and 25 mins
"Planning, Business and Profit",John Satcher,Length: 3 hrs and 3 mins
The War of Art,Steven Pressfield,Length: 2 hrs and 29 mins
The Awe of God,John Bevere,Length: 7 hrs and 28 mins
Aftershock,Joshua Dalzelle,Length: 8 hrs and 25 mins
What Happened to You?,"Oprah Winfrey,Bruce D. Perry",Length: 8 hrs and 27 mins
The New Confessions of an Economic Hit Man,John Perkins,Length: 12 hrs and 22 mins
Becoming Supernatural,Joe Dispenza,Length: 14 hrs and 6 mins
Sense and Sensibility,Jane Austen,Length: 11 hrs and 25 mins
World War Z: The Complete Edition,Max Brooks,Length: 12 hrs and 9 mins
The Courage to Be Disliked,"Ichiro Kishimi,Fumitake Koga",Length: 6 hrs and 29 mins
The Creative Act,Rick Rubin,Length: 5 hrs and 45 mins
He Who Fights with Monsters: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 28 hrs and 56 mins
Crown of Midnight,Sarah J. Maas,Length: 12 hrs and 43 mins
I Will Find You,Harlan Coben,Length: 10 hrs and 16 mins
Suttree,Cormac McCarthy,Length: 20 hrs and 22 mins
It’s Not Summer Without You,Jenny Han,Length: 6 hrs and 7 mins
"Friends, Lovers, and the Big Terrible Thing",Matthew Perry,Length: 8 hrs and 49 mins
Local Woman Missing,Mary Kubica,Length: 11 hrs and 40 mins
The Crown of Gilded Bones,Jennifer L. Armentrout,Length: 25 hrs and 22 mins
Ready Player Two,Ernest Cline,Length: 13 hrs and 46 mins
Winning the War in Your Mind,Craig Groeschel,Length: 4 hrs and 59 mins
Seaborn,Michael Livingston,Length: 10 hrs and 21 mins
The Summer I Turned Pretty,Jenny Han,Length: 6 hrs
The Lost Metal,Brandon Sanderson,Length: 18 hrs and 46 mins
Twisted Love,Ana Huang,Length: 10 hrs and 41 mins
The 6:20 Man,David Baldacci,Length: 11 hrs and 48 mins
A Kingdom of Flesh and Fire,Jennifer L. Armentrout,Length: 24 hrs and 21 mins
The Sandman,"Neil Gaiman,Dirk Maggs",Length: 11 hrs and 2 mins
All Your Perfects,Colleen Hoover,Length: 7 hrs and 43 mins
Soulsmith,Will Wight,Length: 8 hrs and 31 mins
Cleaning Up Your Mental Mess,Dr. Caroline Leaf,Length: 8 hrs and 4 mins
"Influence, New and Expanded",Robert B. Cialdini,Length: 20 hrs and 43 mins
The ADHD Effect on Marriage,Melissa Orlov,Length: 8 hrs and 3 mins
Waking the Tiger,"Peter A. Levine,Ann Frederick",Length: 8 hrs and 51 mins
Lessons in Chemistry,Bonnie Garmus,Length: 11 hrs and 55 mins
"Girl, Forgotten",Karin Slaughter,Length: 15 hrs and 45 mins
Beyond Order,Jordan B. Peterson,Length: 13 hrs and 11 mins
C. S. Lewis Essential Audio Library,C. S. Lewis,Length: 38 hrs and 50 mins
Good Boundaries and Goodbyes,Lysa TerKeurst,Length: 7 hrs and 27 mins
You Owe You,"Eric Thomas PhD,Chris Paul - foreword",Length: 7 hrs and 57 mins
The War of Two Queens,Jennifer L. Armentrout,Length: 26 hrs and 38 mins
Fear the Silence,Robert Bryndza,Length: 9 hrs and 36 mins
Surrounded by Idiots,Thomas Erikson,Length: 10 hrs and 47 mins
Hello Beautiful,Ann Napolitano,Length: 15 hrs and 6 mins
The Devil's Hand,Jack Carr,Length: 14 hrs and 37 mins
The Return of the King,J. R. R. Tolkien,Length: 21 hrs and 52 mins
The Witness,Nora Roberts,Length: 16 hrs and 19 mins
The Inmate,Freida McFadden,Length: 8 hrs and 5 mins
In the Blood,Jack Carr,Length: 12 hrs and 8 mins
Iron Lake,William Kent Krueger,Length: 11 hrs and 57 mins
Discipline Is Destiny,Ryan Holiday,Length: 7 hrs and 17 mins
The Crêpes of Wrath,Sarah Fox,Length: 7 hrs and 23 mins
Things We Never Got Over,Lucy Score,Length: 16 hrs and 1 min
He Who Fights with Monsters 2,"Shirtaloon,Travis Deverell",Length: 22 hrs and 1 min
The Myth of Normal,"Gabor Maté MD,Daniel Maté",Length: 18 hrs and 12 mins
Call Me Maybe,Cara Bastone,Length: 5 hrs and 55 mins
The Power of One More,Ed Mylett,Length: 5 hrs and 19 mins
C. S. Lewis Essential Audio Library,C. S. Lewis,Length: 38 hrs and 50 mins
Good Boundaries and Goodbyes,Lysa TerKeurst,Length: 7 hrs and 27 mins
You Owe You,"Eric Thomas PhD,Chris Paul - foreword",Length: 7 hrs and 57 mins
The War of Two Queens,Jennifer L. Armentrout,Length: 26 hrs and 38 mins
Fear the Silence,Robert Bryndza,Length: 9 hrs and 36 mins
Surrounded by Idiots,Thomas Erikson,Length: 10 hrs and 47 mins
Hello Beautiful,Ann Napolitano,Length: 15 hrs and 6 mins
The Devil's Hand,Jack Carr,Length: 14 hrs and 37 mins
The Return of the King,J. R. R. Tolkien,Length: 21 hrs and 52 mins
The Witness,Nora Roberts,Length: 16 hrs and 19 mins
The Inmate,Freida McFadden,Length: 8 hrs and 5 mins
In the Blood,Jack Carr,Length: 12 hrs and 8 mins
Iron Lake,William Kent Krueger,Length: 11 hrs and 57 mins
Discipline Is Destiny,Ryan Holiday,Length: 7 hrs and 17 mins
The Crêpes of Wrath,Sarah Fox,Length: 7 hrs and 23 mins
Things We Never Got Over,Lucy Score,Length: 16 hrs and 1 min
He Who Fights with Monsters 2,"Shirtaloon,Travis Deverell",Length: 22 hrs and 1 min
The Myth of Normal,"Gabor Maté MD,Daniel Maté",Length: 18 hrs and 12 mins
Call Me Maybe,Cara Bastone,Length: 5 hrs and 55 mins
The Power of One More,Ed Mylett,Length: 5 hrs and 19 mins
